operator,generation,count,mean,median,std,q25,q75,min,max,pct_lt_0_8
BackTranslation,1,9,0.971,0.964,0.014,0.961,0.983,0.957,0.992,0.0
BackTranslation,2,58,0.947,0.949,0.026,0.93,0.968,0.876,0.995,0.0
BackTranslation,3,286,0.931,0.931,0.037,0.914,0.955,0.698,0.999,0.017
BackTranslation,4,1005,0.924,0.927,0.048,0.905,0.953,0.575,0.998,0.021
BertMLM,1,41,0.983,0.989,0.015,0.981,0.993,0.945,0.999,0.0
BertMLM,2,128,0.979,0.988,0.02,0.973,0.994,0.899,0.999,0.0
BertMLM,3,636,0.982,0.989,0.018,0.973,0.995,0.899,1.0,0.0
BertMLM,4,3082,0.979,0.987,0.021,0.972,0.994,0.844,1.0,0.0
POSAwareSynonymReplacement,1,25,0.977,0.986,0.019,0.976,0.988,0.92,0.991,0.0
POSAwareSynonymReplacement,2,128,0.974,0.979,0.019,0.965,0.99,0.923,1.0,0.0
POSAwareSynonymReplacement,3,545,0.975,0.981,0.021,0.964,0.99,0.902,1.0,0.0
POSAwareSynonymReplacement,4,2650,0.975,0.982,0.021,0.968,0.99,0.859,0.999,0.0
TinyT5Paraphrasing,1,131,0.954,0.957,0.028,0.937,0.977,0.843,0.996,0.0
TinyT5Paraphrasing,2,136,0.95,0.954,0.036,0.936,0.971,0.669,0.999,0.007
TinyT5Paraphrasing,3,630,0.947,0.95,0.029,0.927,0.969,0.856,1.0,0.0
TinyT5Paraphrasing,4,3052,0.944,0.947,0.031,0.925,0.966,0.73,1.0,0.002
